Date,ModelYear,Month,Day,Rainfall_mm,EnsembleMember
2031-04-23,2031,4,23,1.6444905e-05,01
2031-04-24,2031,4,24,0.00021306367,01
2031-04-25,2031,4,25,3.3679702e-05,01
2031-04-26,2031,4,26,3.583781e-05,01
2031-04-27,2031,4,27,2.5579278e-05,01
2031-04-28,2031,4,28,2.804274,01
2031-04-29,2031,4,29,10.255852,01
2031-04-30,2031,4,30,11.607968,01
2031-05-01,2031,5,1,0.11297863,01
2031-05-02,2031,5,2,0.027354911,01
2031-05-03,2031,5,3,0.0002524966,01
2031-05-04,2031,5,4,5.222499,01
2031-05-05,2031,5,5,12.288918,01
2031-05-06,2031,5,6,1.844956e-05,01
2031-05-07,2031,5,7,1.0824354e-05,01
2031-05-08,2031,5,8,3.7735927e-06,01
2031-05-09,2031,5,9,4.554332e-06,01
2031-05-10,2031,5,10,0.28274125,01
2031-05-11,2031,5,11,4.3922155e-05,01
2031-05-12,2031,5,12,4.9869127e-06,01
2031-05-13,2031,5,13,0.00053705246,01
2031-05-14,2031,5,14,1.1396998e-05,01
2031-05-15,2031,5,15,7.869575e-07,01
2031-05-16,2031,5,16,2.137342e-08,01
2031-05-17,2031,5,17,0.0004865129,01
2031-05-18,2031,5,18,0.057324648,01
2031-05-19,2031,5,19,3.9366035,01
2031-05-20,2031,5,20,12.458346,01
2031-05-21,2031,5,21,1.262244,01
2031-05-22,2031,5,22,0.85710406,01
2031-05-23,2031,5,23,5.665342,01
2031-05-24,2031,5,24,0.4197099,01
2031-05-25,2031,5,25,0.65646845,01
2031-05-26,2031,5,26,4.660718,01
2031-05-27,2031,5,27,4.480869,01
2031-05-28,2031,5,28,0.8867399,01
2031-05-29,2031,5,29,2.9547522e-05,01
2031-05-30,2031,5,30,0.035499558,01
2031-06-01,2031,6,1,8.772471,01
2031-06-02,2031,6,2,1.1239583,01
2031-06-03,2031,6,3,0.096692555,01
2031-06-04,2031,6,4,7.620694,01
2031-06-05,2031,6,5,1.6914228e-05,01
2031-06-06,2031,6,6,8.866436e-06,01
2031-06-07,2031,6,7,4.683576e-05,01
2031-06-08,2031,6,8,0.0006020255,01
