Period,Metric,BaselineLower,Lower,LowerChange,LowerPctChange,BaselineMedian,Median,MedianChange,MedianPctChange,BaselineUpper,Upper,UpperChange,UpperPctChange
2031–2040,AnnualRainfall365_mm,1131.2123064685793,1166.1560294872254,34.9437230186461,3.089050819092791,1414.7865590062995,1437.9116305851712,23.12507157887171,1.6345272318047759,1735.6417653854971,1777.1136573297863,41.471891944289155,2.389426941168242
2031–2040,DryDays365,122.68055555555554,120.96527777777776,-1.7152777777777857,-1.3981659685271208,146.0,151.06944444444443,5.069444444444429,3.472222222222211,175.40277777777777,175.50416666666666,0.10138888888889142,0.05780346820809393
2031–2040,LightRainDays365,60.83333333333333,62.86111111111111,2.0277777777777786,3.333333333333335,75.02777777777777,74.00694444444444,-1.0208333333333286,-1.3606071825249846,88.80336976320584,87.01944444444445,-1.7839253187613906,-2.0088486771596923
2031–2040,ModerateRainDays365,78.06944444444444,74.01388888888889,-4.055555555555557,-5.194805194805197,95.30555555555556,91.625,-3.680555555555557,-3.8618478577674162,111.0527777777778,108.04861111111111,-3.0041666666666913,-2.7051702143625618
2031–2040,HeavyRainDays365,35.48611111111111,36.5,1.0138888888888928,2.8571428571428683,47.0,47.826388888888886,0.8263888888888857,1.75827423167848,61.0,63.08251366120218,2.082513661202178,3.413956821642915
2031–2040,VeryHeavyRainDays365,8.11111111111111,10.13888888888889,2.0277777777777786,25.00000000000001,13.180555555555555,14.194444444444445,1.0138888888888893,7.692307692307695,20.27777777777778,21.291666666666664,1.0138888888888857,4.999999999999984
2031–2040,LongestDrySpell,10.0,10.0,0.0,0.0,15.0,15.0,0.0,0.0,23.0,25.0,2.0,8.695652173913043
2041–2050,AnnualRainfall365_mm,1131.2123064685793,1186.476074233488,55.26376776490861,4.885357721879029,1414.7865590062995,1423.099997419969,8.313438413669473,0.5876107855808699,1735.6417653854971,1796.3861407390602,60.7443753535631,3.4998221732738375
2041–2050,DryDays365,122.68055555555554,121.96666666666668,-0.7138888888888602,-0.5819087512736096,146.0,154.11111111111111,8.111111111111114,5.555555555555558,175.40277777777777,176.6194444444444,1.2166666666666401,0.6936416184970947
2041–2050,LightRainDays365,60.83333333333333,61.74583333333333,0.9125000000000014,1.5000000000000024,75.02777777777777,74.0,-1.0277777777777715,-1.3698630136986218,88.80336976320584,89.0,0.1966302367941637,0.2214220443643954
2041–2050,ModerateRainDays365,78.06944444444444,70.97222222222221,-7.0972222222222285,-9.090909090909099,95.30555555555556,89.22222222222221,-6.083333333333343,-6.382978723404264,111.0527777777778,104.63333333333333,-6.41944444444448,-5.780534780759929
2041–2050,HeavyRainDays365,35.48611111111111,37.412499999999994,1.9263888888888872,5.428571428571424,47.0,48.666666666666664,1.6666666666666643,3.5460992907801367,61.0,63.08251366120218,2.082513661202178,3.413956821642915
