Rainfall
0.5
8.8
0.4
1.3
0.0
4.9
1.4
5.9
8.7
0.6
10.1
1.3
8.9
18.8
0.5
17.1
2.9
0.1
0.0
0.1
0.1
0.0
0.0
0.0
4.4
9.0
7.2
3.9
2.8
1.3
2.5
15.1
0.0
5.4
0.1
0.0
0.0
3.1
5.2
10.5
6.7
6.6
27.4
0.5
14.1
35.8
11.0
3.2
6.8
3.2
4.0
3.3
2.3
5.8
8.5
7.8
15.0
11.6
24.6
4.6
7.5
1.5
4.5
8.7
2.6
2.7
10.1
0.8
11.1
4.7
1.4
1.7
11.5
19.0
0.8
0.0
0.3
3.6
0.1
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
5.4
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.7
2.0
0.3
0.0
1.8
0.0
0.0
0.0
0.0
0.0
0.0
10.3
10.1
9.8
5.3
0.0
1.0
0.2
9.7
0.0
1.1
0.8
0.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.1
0.3
3.6
0.1
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.4
0.2
3.6
2.2
8.8
0.0
10.7
0.4
64.2
2.6
10.1
4.0
0.5
0.2
6.9
17.7
30.1
1.9
12.4
0.2
0.0
0.0
0.0
0.2
14.6
2.5
0.5
4.1
1.5
0.6
0.4
12.3
4.1
0.1
0.1
3.3
3.3
1.9
0.1
0.0
0.0
7.3
0.3
0.0
0.0
0.5
5.7
0.0
0.0
0.0
0.0
3.6
5.7
6.3
8.5
0.9
0.1
0.0
0.0
1.2
2.9
0.9
0.0
0.7
5.0
0.2
0.1
0.1
0.1
0.1
0.1
3.2
0.8
2.7
0.1
0.1
2.4
30.9
6.7
3.8
1.4
0.6
5.1
24.2
2.5
9.9
35.0
2.9
0.2
0.0
0.0
0.0
1.9
2.1
0.7
0.8
1.3
0.0
0.2
0.2
0.0
0.3
0.1
0.0
0.3
0.4
0.0
0.0
0.0
0.2
0.0
0.0
6.4
9.1
20.5
2.4
0.0
0.3
2.9
4.0
15.1
9.7
6.3
4.6
42.8
6.4
3.3
10.0
0.1
2.2
4.2
3.1
9.3
3.7
0.0
0.0
0.2
0.0
0.0
8.9
6.8
8.1
1.3
2.6
9.4
6.3
9.9
3.0
7.2
2.2
17.6
5.8
6.0
13.6
2.9
0.1
0.0
0.0
7.1
8.4
8.2
0.1
11.3
5.4
6.0
12.4
6.4
1.2
6.8
1.9
1.3
1.5
3.2
1.2
2.2
4.2
0.0
0.1
5.6
0.1
0.1
4.4
0.1
11.0
20.3
18.1
0.5
0.2
1.5
5.5
27.4
10.3
6.9
7.3
7.3
0.5
41.6
2.3
17.7
39.5
3.4
13.6
15.4
7.9
6.4
1.2
3.4
27.5
11.4
22.0
4.3
5.9
3.9
0.4
2.4
0.0
0.0
0.0
0.0
3.7
0.0
0.1
1.6
5.2
8.5
6.4
0.5
18.9
0.0
1.1
6.6
15.6
16.5
3.0
3.1
5.0
4.3
