Period,Metric,Lower,Median,Upper,Min,Max,N
1981–2010,AnnualRainfall365_mm,1131.2123064685793,1414.7865590062997,1735.6417653854971,742.2222441540646,2304.3098068250447,480
1981–2010,DryDays365,122.68055555555554,146.0,175.40277777777777,84.15277777777777,222.04166666666663,480
1981–2010,LightRainDays365,60.83333333333333,75.02777777777777,88.80336976320584,45.0,107.4722222222222,480
1981–2010,ModerateRainDays365,78.06944444444444,95.30555555555556,111.05277777777779,52.72222222222222,136.875,480
1981–2010,HeavyRainDays365,35.48611111111111,47.0,61.0,23.319444444444443,84.0,480
1981–2010,VeryHeavyRainDays365,8.11111111111111,13.180555555555555,20.27777777777778,3.0416666666666665,35.0,480
1981–2010,LongestDrySpell,10.0,15.0,23.0,7.0,59.0,480
