DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
130,1.8,,Yes,,,1.38,,Yes,,
131,2.1,,,Yes,,1.42,,Yes,,
132,1.8,,Yes,,,1.32,,Yes,,
133,1.1,,Yes,,,3.7,,,Yes,
134,3.4,,,Yes,,1.56,,Yes,,
135,0.8,Yes,,,,2.68,,,Yes,
136,1.6,,Yes,,,0.4,Yes,,,
137,2.2,,,Yes,,1.12,,Yes,,
138,1.0,,Yes,,,2.88,,,Yes,
139,1.5,,Yes,,,3.42,,,Yes,
140,2.2,,,Yes,,0.46,Yes,,,
141,2.8,,,Yes,,1.78,,Yes,,
142,3.1,,,Yes,,3.96,,,Yes,
143,1.6,,Yes,,,3.12,,,Yes,
144,2.9,,,Yes,,1.48,,Yes,,
145,2.3,,,Yes,,0.22,Yes,,,
146,2.2,,,Yes,,0.82,Yes,,,
147,2.1,,,Yes,,1.74,,Yes,,
148,1.2,,Yes,,,0.3,Yes,,,
149,1.4,,Yes,,,1.24,,Yes,,
150,1.3,,Yes,,,0.22,Yes,,,
151,1.1,,Yes,,,0.9,Yes,,,
152,2.0,,Yes,Yes,,0,Yes,,,
153,1.3,,Yes,,,0,Yes,,,
154,0.7,Yes,,,,1.16,,Yes,,
155,1.3,,Yes,,,3.84,,,Yes,
156,2.6,,,Yes,,3.48,,,Yes,
157,1.9,,Yes,,,0.08,Yes,,,
158,1.8,,Yes,,,1.1,,Yes,,
159,1.2,,Yes,,,0.46,Yes,,,
160,1.8,,Yes,,,0.1,Yes,,,
161,2.9,,,Yes,,0.96,Yes,,,
162,1.7,,Yes,,,1.62,,Yes,,
163,1.8,,Yes,,,0.54,Yes,,,
164,2.4,,,Yes,,0,Yes,,,
165,1.2,,Yes,,,0.34,Yes,,,
166,0.9,Yes,,,,1.24,,Yes,,
167,2.5,,,Yes,,0.4,Yes,,,
168,1.7,,Yes,,,4.06,,,Yes,
169,2.5,,,Yes,,5.64,,,,Yes
170,2.3,,,Yes,,6.72,,,,Yes
171,1.4,,Yes,,,0.06,Yes,,,
172,1.5,,Yes,,,1.48,,Yes,,
173,1.9,,Yes,,,0.06,Yes,,,
174,2.1,,,Yes,,0.12,Yes,,,
175,1.9,,Yes,,,0.62,Yes,,,
176,2.9,,,Yes,,0,Yes,,,
177,2.6,,,Yes,,0.4,Yes,,,
178,3.1,,,Yes,,2.54,,,Yes,
179,2.0,,Yes,Yes,,0.76,Yes,,,
180,0.7,Yes,,,,0,Yes,,,
181,1.1,,Yes,,,1.78,,Yes,,
182,0.8,Yes,,,,0,Yes,,,
183,0.5,Yes,,,,0.88,Yes,,,
184,0.8,Yes,,,,1.46,,Yes,,
185,1.7,,Yes,,,3.18,,,Yes,
186,1.0,,Yes,,,2.6,,,Yes,
187,1.5,,Yes,,,6.46,,,,Yes
188,2.1,,,Yes,,1.22,,Yes,,
189,1.1,,Yes,,,0.74,Yes,,,
190,0.7,Yes,,,,2.92,,,Yes,
191,1.0,,Yes,,,2.4,,,Yes,
192,4.1,,,Yes,,1.86,,Yes,,
193,1.4,,Yes,,,0.28,Yes,,,
194,1.4,,Yes,,,0.18,Yes,,,
195,2.9,,,Yes,,4.94,,,Yes,
196,1.9,,Yes,,,0.52,Yes,,,
197,0.8,Yes,,,,3.18,,,Yes,
198,0.8,Yes,,,,0.4,Yes,,,
199,0.9,Yes,,,,0.22,Yes,,,
200,1.5,,Yes,,,0.6,Yes,,,
201,0.6,Yes,,,,0.6,Yes,,,
202,1.1,,Yes,,,0.66,Yes,,,
203,2.2,,,Yes,,3.02,,,Yes,
204,1.5,,Yes,,,0.86,Yes,,,
205,1.4,,Yes,,,0.76,Yes,,,
206,0.6,Yes,,,,0.1,Yes,,,
207,1.1,,Yes,,,3.46,,,Yes,
208,1.9,,Yes,,,3.08,,,Yes,
209,2.4,,,Yes,,0.48,Yes,,,
210,1.6,,Yes,,,0.8,Yes,,,
211,2.2,,,Yes,,2.56,,,Yes,
212,2.7,,,Yes,,1.86,,Yes,,
213,1.4,,Yes,,,0.86,Yes,,,
214,4.3,,,Yes,,3.7,,,Yes,
215,3.0,,,Yes,,0.06,Yes,,,
216,3.2,,,Yes,,0.88,Yes,,,
217,2.0,,Yes,Yes,,3.24,,,Yes,
218,4.2,,,Yes,,0.38,Yes,,,
219,1.4,,Yes,,,0.2,Yes,,,
220,1.8,,Yes,,,1.12,,Yes,,
221,2.3,,,Yes,,0.1,Yes,,,
222,1.6,,Yes,,,0,Yes,,,
223,0.9,Yes,,,,0,Yes,,,
224,0.9,Yes,,,,1.5,,Yes,,
225,2.3,,,Yes,,1.72,,Yes,,
226,2.5,,,Yes,,0,Yes,,,
227,2.3,,,Yes,,0.66,Yes,,,
228,2.4,,,Yes,,0.58,Yes,,,
229,1.2,,Yes,,,1.74,,Yes,,
230,3.1,,,Yes,,0.2,Yes,,,
231,2.4,,,Yes,,0.12,Yes,,,
232,1.1,,Yes,,,0.28,Yes,,,
233,1.4,,Yes,,,2.84,,,Yes,
234,1.4,,Yes,,,0.02,Yes,,,
235,1.0,,Yes,,,0.56,Yes,,,
236,1.4,,Yes,,,3.04,,,Yes,
237,2.5,,,Yes,,2.94,,,Yes,
238,1.0,,Yes,,,0.14,Yes,,,
239,0.2,Yes,,,,1.04,,Yes,,
240,0.1,Yes,,,,0.8,Yes,,,
241,1.7,,Yes,,,1.88,,Yes,,
242,1.9,,Yes,,,0.66,Yes,,,
243,1.1,,Yes,,,1.3,,Yes,,
244,2.0,,Yes,Yes,,0.48,Yes,,,
245,2.7,,,Yes,,0.22,Yes,,,
