DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
130,2.6,,Yes,,,1.5,,Yes,,
131,1.7,,Yes,,,1.1,,Yes,,
132,3.0,,Yes,,,0.9,Yes,,,
133,2.6,,Yes,,,3.5,,Yes,,
134,2.0,,Yes,,,4.7,,Yes,,
135,1.8,,Yes,,,4.4,,Yes,,
136,3.4,,Yes,,,2.1,,Yes,,
137,1.5,,Yes,,,3.4,,Yes,,
138,2.3,,Yes,,,1.8,,Yes,,
139,3.3,,Yes,,,2.7,,Yes,,
140,1.8,,Yes,,,0.7,Yes,,,
141,2.3,,Yes,,,1.1,,Yes,,
142,3.0,,Yes,,,5.3,,,Yes,
143,3.5,,Yes,,,2.9,,Yes,,
144,3.2,,Yes,,,6.1,,,Yes,
145,2.3,,Yes,,,1.5,,Yes,,
146,2.6,,Yes,,,4.6,,Yes,,
147,2.8,,Yes,,,0.4,Yes,,,
148,1.7,,Yes,,,1.3,,Yes,,
149,1.8,,Yes,,,2.1,,Yes,,
150,1.1,,Yes,,,1.6,,Yes,,
151,1.3,,Yes,,,0.0,Yes,,,
152,1.3,,Yes,,,0.0,Yes,,,
153,1.2,,Yes,,,0.5,Yes,,,
154,1.7,,Yes,,,5.1,,,Yes,
155,1.2,,Yes,,,0.6,Yes,,,
156,3.5,,Yes,,,1.0,Yes,,,
157,1.4,,Yes,,,1.8,,Yes,,
158,2.4,,Yes,,,2.4,,Yes,,
159,2.6,,Yes,,,0.1,Yes,,,
160,2.1,,Yes,,,3.2,,Yes,,
161,2.0,,Yes,,,0.5,Yes,,,
162,3.4,,Yes,,,12.9,,,,Yes
163,5.5,,,Yes,,1.0,,Yes,,
164,2.6,,Yes,,,2.1,,Yes,,
165,2.6,,Yes,,,3.7,,Yes,,
166,2.9,,Yes,,,1.2,,Yes,,
167,3.6,,Yes,,,0.5,Yes,,,
168,3.6,,Yes,,,1.4,,Yes,,
169,2.6,,Yes,,,5.6,,,Yes,
170,3.7,,Yes,,,8.8,,,Yes,
171,3.7,,Yes,,,10.3,,,,Yes
172,2.2,,Yes,,,3.8,,Yes,,
173,2.9,,Yes,,,1.1,,Yes,,
174,2.8,,Yes,,,0.3,Yes,,,
175,2.0,,Yes,,,1.6,,Yes,,
176,4.0,,Yes,,,3.2,,Yes,,
177,2.3,,Yes,,,0.7,Yes,,,
178,2.7,,Yes,,,3.2,,Yes,,
179,2.1,,Yes,,,10.8,,,,Yes
180,1.5,,Yes,,,2.1,,Yes,,
181,1.9,,Yes,,,3.0,,Yes,,
182,1.4,,Yes,,,1.2,,Yes,,
183,3.0,,Yes,,,0.7,Yes,,,
184,2.9,,Yes,,,1.1,,Yes,,
185,1.1,,Yes,,,7.4,,,Yes,
186,2.8,,Yes,,,3.2,,Yes,,
187,3.0,,Yes,,,7.4,,,Yes,
188,2.7,,Yes,,,2.0,,Yes,,
189,3.1,,Yes,,,1.1,,Yes,,
190,2.5,,Yes,,,4.3,,Yes,,
191,2.8,,Yes,,,8.5,,,Yes,
192,4.4,,Yes,,,3.4,,Yes,,
193,3.6,,Yes,,,7.2,,,Yes,
194,2.6,,Yes,,,3.7,,Yes,,
195,3.6,,Yes,,,5.8,,,Yes,
196,3.1,,Yes,,,2.9,,Yes,,
197,4.1,,Yes,,,4.0,,Yes,,
198,2.2,,Yes,,,0.1,Yes,,,
199,2.5,,Yes,,,0.5,Yes,,,
200,1.9,,Yes,,,1.5,,Yes,,
201,2.4,,Yes,,,0.8,Yes,,,
202,1.5,,Yes,,,2.3,,Yes,,
203,2.9,,Yes,,,5.0,,Yes,,
204,3.0,,Yes,,,1.3,,Yes,,
205,1.6,,Yes,,,2.4,,Yes,,
206,2.9,,Yes,,,3.7,,Yes,,
207,2.5,,Yes,,,5.0,,,Yes,
208,3.2,,Yes,,,2.3,,Yes,,
209,5.8,,,Yes,,1.3,,Yes,,
210,2.4,,Yes,,,1.8,,Yes,,
211,0.9,Yes,,,,3.9,,Yes,,
212,1.9,,Yes,,,1.2,,Yes,,
213,3.3,,Yes,,,3.5,,Yes,,
214,4.1,,Yes,,,2.9,,Yes,,
215,3.9,,Yes,,,0.8,Yes,,,
216,3.1,,Yes,,,1.5,,Yes,,
217,5.0,,Yes,,,1.7,,Yes,,
218,2.4,,Yes,,,3.5,,Yes,,
219,3.1,,Yes,,,2.0,,Yes,,
220,4.3,,Yes,,,2.0,,Yes,,
221,3.8,,Yes,,,2.8,,Yes,,
222,3.8,,Yes,,,0.3,Yes,,,
223,2.5,,Yes,,,0.7,Yes,,,
224,2.3,,Yes,,,0.6,Yes,,,
225,5.2,,,Yes,,2.8,,Yes,,
226,3.5,,Yes,,,1.0,,Yes,,
227,4.8,,Yes,,,3.9,,Yes,,
228,5.0,,,Yes,,2.5,,Yes,,
229,2.3,,Yes,,,0.1,Yes,,,
230,2.4,,Yes,,,6.6,,,Yes,
231,2.2,,Yes,,,6.3,,,Yes,
232,2.5,,Yes,,,3.1,,Yes,,
233,4.6,,Yes,,,2.6,,Yes,,
234,2.3,,Yes,,,3.6,,Yes,,
235,2.0,,Yes,,,1.7,,Yes,,
236,1.4,,Yes,,,2.6,,Yes,,
237,3.0,,Yes,,,6.1,,,Yes,
238,1.8,,Yes,,,1.1,,Yes,,
239,1.5,,Yes,,,2.3,,Yes,,
240,1.5,,Yes,,,7.5,,,Yes,
241,1.7,,Yes,,,1.2,,Yes,,
242,2.5,,Yes,,,3.2,,Yes,,
243,2.2,,Yes,,,0.6,Yes,,,
244,3.4,,Yes,,,0.5,Yes,,,
245,3.5,,Yes,,,0.6,Yes,,,
246,2.6,,Yes,,,3.9,,Yes,,
247,5.2,,,Yes,,3.2,,Yes,,
248,2.5,,Yes,,,1.2,,Yes,,
249,2.1,,Yes,,,5.8,,,Yes,
250,2.5,,Yes,,,4.2,,Yes,,
251,3.0,,Yes,,,6.8,,,Yes,
252,3.0,,Yes,,,6.3,,,Yes,
253,4.3,,Yes,,,1.3,,Yes,,
254,3.8,,Yes,,,1.4,,Yes,,
255,3.5,,Yes,,,0.3,Yes,,,
256,4.8,,Yes,,,2.3,,Yes,,
257,5.1,,,Yes,,0.8,Yes,,,
258,2.3,,Yes,,,3.4,,Yes,,
259,2.9,,Yes,,,1.5,,Yes,,
260,4.1,,Yes,,,3.1,,Yes,,
261,3.9,,Yes,,,0.9,Yes,,,
262,2.4,,Yes,,,4.3,,Yes,,
263,3.1,,Yes,,,1.5,,Yes,,
264,2.9,,Yes,,,2.1,,Yes,,
265,3.0,,Yes,,,4.7,,Yes,,
266,3.7,,Yes,,,3.7,,Yes,,
267,8.3,,,Yes,,2.8,,Yes,,
268,6.7,,,Yes,,7.0,,,Yes,
269,5.9,,,Yes,,4.7,,Yes,,
270,4.8,,Yes,,,12.4,,,,Yes
271,5.5,,,Yes,,6.2,,,Yes,
272,6.9,,,Yes,,5.5,,,Yes,
273,4.3,,Yes,,,12.8,,,,Yes
274,3.6,,Yes,,,7.2,,,Yes,
275,3.2,,Yes,,,4.7,,Yes,,
