Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
96,6.6,1.9,146.5,1.8,-491.4,-902.6,-241.8
97,7.0,2.3,148.7,1.5,-495.1,-911.8,-244.0
98,6.9,2.3,151.1,3.2,-497.1,-923.9,-243.6
99,6.7,2.0,153.1,1.9,-501.1,-918.4,-262.7
100,7.0,2.3,155.3,2.8,-504.1,-921.5,-266.0
101,7.3,2.5,157.8,1.9,-509.7,-921.4,-267.2
102,7.4,2.5,160.4,1.3,-519.5,-907.8,-264.5
103,7.4,2.4,162.9,1.7,-526.2,-909.2,-269.3
104,7.8,2.8,165.7,2.5,-535.0,-910.2,-279.6
105,8.1,3.1,168.8,1.6,-547.8,-911.0,-284.9
106,8.5,3.6,172.3,2.2,-559.3,-915.1,-291.3
107,8.6,3.6,176.0,2.2,-571.0,-920.4,-295.3
108,8.1,3.1,179.1,2.7,-579.6,-920.8,-306.1
109,8.3,3.3,182.3,2.8,-589.7,-898.6,-319.0
110,8.3,3.3,185.7,4.5,-596.1,-887.0,-337.5
111,8.4,3.4,189.1,3.8,-602.8,-882.3,-346.7
112,8.9,3.9,192.9,2.2,-610.4,-884.0,-349.3
113,9.3,4.3,197.2,2.3,-619.6,-890.4,-362.1
114,9.0,4.1,201.2,2.6,-628.9,-899.4,-382.5
115,8.8,3.9,205.2,2.9,-638.0,-893.4,-402.9
116,8.4,3.6,208.7,1.5,-645.1,-906.0,-425.9
117,8.5,3.5,212.2,2.2,-652.2,-917.2,-444.1
118,8.5,3.6,215.8,3.2,-658.5,-936.9,-464.1
119,8.7,3.7,219.5,2.8,-665.4,-942.9,-477.4
120,8.8,3.8,223.3,2.4,-671.2,-943.0,-493.3
121,9.2,4.2,227.4,2.1,-680.2,-939.5,-510.9
122,9.0,4.1,231.4,3.1,-689.2,-956.2,-520.8
123,9.7,4.7,236.2,3.1,-697.0,-978.4,-516.6
124,9.8,4.8,241.1,4.0,-704.8,-999.3,-528.9
125,9.8,4.9,246.0,2.4,-713.0,-1028.0,-530.0
126,10.0,5.0,251.0,2.5,-721.9,-1039.4,-542.2
127,9.9,4.9,255.9,2.8,-731.9,-1053.2,-535.2
128,10.4,5.4,261.3,4.4,-738.8,-1053.8,-539.7
129,10.3,5.3,266.6,3.5,-746.2,-1055.3,-545.1
130,10.2,5.2,271.8,2.6,-754.9,-1057.5,-548.0
131,11.0,6.0,277.7,1.7,-767.5,-1061.2,-555.0
132,10.9,5.9,283.7,3.0,-776.9,-1064.2,-568.3
133,11.1,6.1,289.7,2.6,-788.3,-1072.9,-578.2
134,11.3,6.3,295.9,2.0,-800.0,-1081.4,-600.6
135,11.1,6.1,302.0,1.8,-811.4,-1087.5,-608.0
136,10.9,5.9,307.9,3.4,-822.5,-1073.7,-608.5
137,11.0,6.0,314.0,1.5,-833.8,-1075.6,-612.4
138,11.0,6.0,320.0,2.3,-844.2,-1082.8,-626.9
139,10.7,5.7,325.7,3.3,-852.9,-1093.6,-635.5
140,11.4,6.4,332.1,1.8,-865.3,-1099.9,-643.2
141,11.5,6.5,338.5,2.3,-875.2,-1105.5,-653.3
142,11.4,6.4,344.9,3.0,-884.6,-1113.0,-654.6
143,11.2,6.2,351.2,3.5,-893.5,-1115.0,-657.8
144,11.4,6.4,357.6,3.2,-904.4,-1121.2,-663.5
145,11.9,6.9,364.4,2.3,-914.3,-1128.8,-679.5
146,11.8,6.8,371.2,2.6,-922.8,-1139.0,-689.9
147,11.7,6.7,377.9,2.8,-933.8,-1147.5,-704.6
148,11.6,6.6,384.6,1.7,-946.4,-1158.9,-724.9
149,11.8,6.8,391.4,1.8,-955.4,-1172.2,-735.2
