Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
96,7.0,2.3,134.6,1.2,-567.1,-959.9,-246.7
97,7.5,2.7,137.3,1.8,-571.3,-963.6,-251.7
98,7.2,2.5,139.8,1.0,-576.9,-971.3,-260.7
99,7.3,2.7,142.5,1.3,-581.5,-974.6,-275.3
100,8.0,3.2,145.7,2.2,-588.0,-962.1,-289.5
101,8.1,3.3,149.1,1.2,-596.5,-964.6,-304.1
102,8.0,3.1,152.2,0.9,-605.3,-968.1,-322.1
103,8.0,3.1,155.3,1.3,-612.9,-972.4,-325.3
104,8.2,3.4,158.7,1.3,-621.6,-974.3,-332.8
105,9.0,4.1,162.9,0.7,-634.6,-975.9,-350.4
106,9.6,4.6,167.5,1.0,-648.6,-980.1,-366.3
107,9.4,4.4,171.9,1.2,-661.7,-988.5,-371.0
108,8.7,3.8,175.7,1.7,-671.8,-1000.9,-383.2
109,9.3,4.4,180.0,2.4,-682.6,-1003.4,-388.8
110,9.0,4.0,184.0,1.5,-692.8,-1001.4,-403.1
111,9.4,4.4,188.3,1.7,-703.8,-1011.7,-421.2
112,10.3,5.3,193.5,1.5,-715.6,-1019.9,-447.3
113,10.2,5.2,198.7,1.8,-725.5,-1023.8,-471.2
114,9.2,4.3,203.0,2.0,-733.8,-1037.3,-493.1
115,9.3,4.4,207.4,2.4,-742.3,-1040.8,-511.0
116,9.2,4.3,211.7,1.6,-753.0,-1054.7,-537.6
117,9.3,4.3,215.9,0.6,-763.7,-1059.2,-553.7
118,9.5,4.5,220.5,1.5,-774.5,-1073.6,-560.7
119,9.8,4.8,225.3,1.1,-784.0,-1083.8,-574.5
120,9.9,4.9,230.1,1.6,-793.3,-1087.0,-580.8
121,10.1,5.1,235.1,1.9,-801.8,-1088.8,-598.1
122,10.0,5.0,240.1,2.0,-811.0,-1091.4,-635.4
123,10.4,5.4,245.6,1.8,-821.7,-1088.0,-658.8
124,10.9,5.9,251.6,1.3,-833.8,-1095.6,-656.0
125,11.0,6.0,257.6,1.8,-845.4,-1110.0,-660.1
126,11.0,6.0,263.7,1.0,-856.0,-1124.6,-662.7
127,11.3,6.3,270.0,1.0,-867.8,-1129.8,-674.2
128,11.9,6.9,276.9,0.7,-881.2,-1136.4,-682.6
129,11.3,6.3,283.3,1.7,-890.7,-1136.9,-695.2
130,11.3,6.3,289.5,1.8,-900.3,-1138.9,-685.0
131,12.1,7.1,296.6,2.1,-911.6,-1140.6,-696.0
132,12.1,7.1,303.6,1.8,-924.8,-1152.0,-731.2
133,12.5,7.5,311.1,1.1,-937.8,-1156.8,-760.2
134,12.0,7.0,318.0,3.4,-948.0,-1152.7,-791.1
135,12.0,7.0,325.1,0.8,-961.5,-1161.5,-804.4
136,12.1,7.1,332.1,1.6,-973.4,-1162.7,-810.3
137,12.2,7.2,339.3,2.2,-984.4,-1164.4,-823.1
138,11.8,6.8,346.2,1.0,-996.1,-1176.2,-832.6
139,11.7,6.7,353.0,1.5,-1007.0,-1178.8,-836.1
140,11.9,6.9,359.9,2.2,-1017.9,-1193.3,-850.5
141,12.1,7.1,366.9,2.8,-1027.4,-1204.1,-846.7
142,12.0,7.0,373.9,3.1,-1036.6,-1211.1,-861.8
143,12.2,7.2,381.2,1.6,-1047.6,-1217.9,-873.7
144,12.6,7.6,388.9,2.9,-1057.3,-1233.5,-891.6
145,12.7,7.7,396.5,2.3,-1068.8,-1242.6,-911.9
146,12.9,7.9,404.3,2.2,-1079.5,-1250.4,-924.7
147,12.5,7.5,411.9,2.1,-1090.6,-1251.2,-933.6
148,12.3,7.3,419.3,1.2,-1101.7,-1261.0,-938.3
149,12.5,7.5,426.7,1.4,-1111.0,-1273.0,-945.1
150,12.9,7.9,434.7,1.3,-1122.7,-1282.9,-956.3
151,13.4,8.4,443.0,1.1,-1134.8,-1296.3,-962.8
152,13.7,8.7,451.6,2.0,-1146.0,-1311.4,-978.7
153,13.7,8.7,460.3,1.3,-1160.2,-1330.1,-1001.1
154,14.2,9.2,469.4,0.7,-1176.7,-1350.2,-1019.6
155,13.8,8.8,478.3,1.3,-1190.9,-1368.0,-1041.2
156,14.2,9.2,487.5,2.6,-1203.9,-1379.4,-1062.8
157,14.4,9.4,496.9,1.9,-1217.6,-1393.3,-1081.1
158,14.2,9.2,506.0,1.8,-1230.9,-1415.5,-1101.3
159,14.6,9.6,515.6,1.2,-1245.5,-1448.7,-1109.1
160,14.8,9.8,525.4,1.8,-1259.6,-1471.9,-1114.2
161,14.5,9.5,534.9,2.9,-1270.8,-1493.1,-1126.9
162,15.1,10.1,545.0,1.7,-1284.0,-1513.9,-1131.4
163,14.6,9.6,554.6,1.8,-1296.8,-1532.5,-1138.2
164,15.1,10.1,564.8,2.4,-1309.5,-1553.1,-1121.5
165,15.1,10.1,574.9,1.2,-1321.2,-1551.3,-1130.6
166,15.2,10.2,585.1,0.9,-1332.7,-1556.4,-1139.4
167,15.3,10.3,595.5,2.5,-1343.3,-1567.5,-1150.6
168,15.3,10.3,605.8,1.7,-1356.5,-1584.6,-1156.8
169,15.3,10.3,616.1,2.5,-1368.3,-1596.8,-1158.4
170,15.4,10.4,626.6,2.3,-1380.5,-1610.6,-1171.6
171,15.4,10.4,637.0,1.4,-1392.9,-1623.4,-1177.3
172,15.2,10.2,647.2,1.5,-1402.8,-1633.7,-1179.7
173,15.5,10.5,657.7,1.9,-1413.3,-1643.0,-1188.0
174,15.1,10.1,667.7,2.1,-1425.0,-1659.8,-1196.1
175,15.3,10.3,678.0,1.9,-1437.3,-1690.5,-1202.6
176,15.7,10.7,688.7,2.9,-1449.1,-1710.2,-1215.1
177,15.8,10.8,699.5,2.6,-1460.2,-1731.1,-1225.7
178,15.9,10.9,710.4,3.1,-1471.3,-1761.2,-1245.4
179,15.5,10.5,720.9,2.0,-1481.7,-1776.4,-1255.7
180,16.0,11.0,731.9,0.7,-1494.8,-1791.7,-1272.9
181,16.1,11.1,743.0,1.1,-1507.9,-1817.5,-1290.2
182,16.5,11.5,754.5,0.8,-1522.0,-1844.5,-1307.2
183,16.9,11.9,766.4,0.5,-1536.3,-1867.5,-1324.8
184,16.4,11.4,777.7,0.8,-1547.7,-1890.3,-1337.9
185,16.2,11.2,788.9,1.7,-1558.1,-1916.3,-1344.7
186,16.7,11.7,800.7,1.0,-1569.6,-1942.0,-1358.0
187,16.8,11.8,812.5,1.5,-1580.1,-1956.6,-1369.5
188,17.0,12.0,824.5,2.1,-1588.8,-1971.2,-1374.4
